16752925,16004,1675,3298033,732010
6996,3941,1026,949550,26839
74995,86306,16761744,1339839,994244
6837,15712,686,1221641,16755441
29332,25953,9894,1095482,117086
13669,3385,1454,1517317,16759010
7527,6713,624,603575,19199
1572,1993,1745,331992,31213
5964,20346,9965,16747197,22991
10580,16748215,6882,365299,554708
14129,20606,3679,281415,44032
17470,3376,1707,1633878,23624
16754330,16752579,21461,681161,22358
19372,16753986,16663,1130427,182282
4991,22887,3236,770855,27398
16755226,21713,4707,801234,16773594
15086,20664,6077,166972,556174
12065,16756467,23625,493196,329162
10865,17669,11684,659514,115876
8685,9068,4622,545221,46797
2810,1414,338,1053638,5386
16754022,16608,5758,1347852,97481
11569,16419,5859,7134,58446
51622,77844,14784,1489932,140858
3050,6931,622,473804,16746854
24539,22409,8650,205047,195769
29654,19067,6899,677258,54998
16750585,19426,5075,818662,239778
4439,17180,3389,16760248,158781
22505,13883,2401,57202,28299
20508,16753272,4186,1010888,268419
19619,19969,13479,432127,208651
24713,6847,5646,431296,95335
22229,27741,11975,149945,44001
12879,11197,8339,239736,237813
8842,2375,882,685499,16746731
6034,11311,6100,447737,53446
13530,13263,938,523186,70424
18093,30098,11813,277247,77730
6682,8057,9995,16771607,135182
