timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1488856390145,0,7,1.5380859375E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390146,0,-262,-5.7568359375E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390146,0,-260,-5.712890625E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390146,0,32,7.03125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390146,0,40,8.7890625E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390146,0,4,8.7890625E-7,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390147,0,-267,-5.86669921875E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390158,0,5,1.0986328125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390158,0,12,2.63671875E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390159,0,8,1.7578125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390159,0,4,8.7890625E-7,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390159,0,-258,-5.6689453125000004E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390159,0,-262,-5.7568359375E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390159,0,-264,-5.80078125E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390160,0,2,4.39453125E-7,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390160,0,17,3.7353515625000003E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390160,0,25,5.4931640625E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390160,0,26,5.712890625E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390160,0,32,7.03125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390160,0,39,8.5693359375E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390216,0,39,8.5693359375E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390216,0,23,5.0537109375E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390217,0,11,2.4169921875E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390217,0,11,2.4169921875E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390225,0,23,5.0537109375E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390225,0,36,7.91015625E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390225,0,38,8.349609375E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390226,0,32,7.03125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390226,0,18,3.955078125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390226,0,9,1.9775390625E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390226,0,21,4.614257812500001E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390226,0,21,4.614257812500001E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390226,0,11,2.4169921875E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390227,0,8,1.7578125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390227,0,0,0.0,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390227,0,-265,-5.82275390625E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390227,0,1,2.197265625E-7,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390227,0,37,8.1298828125E-6,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390227,0,66,1.4501953125E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390228,0,64,1.40625E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390228,0,50,1.0986328125E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390228,0,53,1.1645507812500002E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390228,0,69,1.51611328125E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390228,0,85,1.86767578125E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390228,0,88,1.93359375E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390228,0,87,1.91162109375E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390229,0,71,1.56005859375E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390229,0,59,1.29638671875E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390229,0,61,1.34033203125E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390229,0,65,1.42822265625E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390243,0,75,1.64794921875E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390243,0,97,2.13134765625E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390243,0,97,2.13134765625E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
1488856390243,0,73,1.6040039062500002E-5,0,0,41,266374,87679,16058,4091,1721,3490,2737,1546,Tag0,unknown
